title,company,location,salary,job_type,source,link,summary,scraped_at
Data Analyst,Virtusa,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-analyst-at-virtusa-4352231131?position=1&pageNum=0&refId=n8noPYkluZDACgLITtN7YQ%3D%3D&trackingId=%2FwUns2wsic4K3GlhgJTUvA%3D%3D,AI/ML Role at Virtusa,2026-02-21 17:01:55
Data Analyst I,Emerson,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-analyst-i-at-emerson-4375823205?position=3&pageNum=0&refId=n8noPYkluZDACgLITtN7YQ%3D%3D&trackingId=EbwICPU7Lh7uZbO0fhCBqQ%3D%3D,AI/ML Role at Emerson,2026-02-21 17:01:55
Databricks-Hyderabad/Bengaluru/Pune/Chennai,Deloitte,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/databricks-hyderabad-bengaluru-pune-chennai-at-deloitte-4367237703?position=4&pageNum=0&refId=n8noPYkluZDACgLITtN7YQ%3D%3D&trackingId=6attAEprBEIk%2BcPDTMCUDg%3D%3D,AI/ML Role at Deloitte,2026-02-21 17:01:55
"Python Data Engineer-Hyderabad,Bengaluru,Pune,Chennai",Deloitte,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/python-data-engineer-hyderabad-bengaluru-pune-chennai-at-deloitte-4367228969?position=5&pageNum=0&refId=n8noPYkluZDACgLITtN7YQ%3D%3D&trackingId=ks6iXRG%2FXn48xrLs72nmyQ%3D%3D,AI/ML Role at Deloitte,2026-02-21 17:01:55
Data Analyst,Guidehouse,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-analyst-at-guidehouse-4375870250?position=6&pageNum=0&refId=n8noPYkluZDACgLITtN7YQ%3D%3D&trackingId=qiUrx3wPeGure0W5UONuUw%3D%3D,AI/ML Role at Guidehouse,2026-02-21 17:01:55
Applications Devt Associate,UPS,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/applications-devt-associate-at-ups-4314287385?position=8&pageNum=0&refId=n8noPYkluZDACgLITtN7YQ%3D%3D&trackingId=hACc%2Fo96VqVeGJDN8TBCfw%3D%3D,AI/ML Role at UPS,2026-02-21 17:01:55
Senior Data Engineer  - Azure Data Factory and SQL,UPS,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/senior-data-engineer-azure-data-factory-and-sql-at-ups-4314069028?position=9&pageNum=0&refId=n8noPYkluZDACgLITtN7YQ%3D%3D&trackingId=i%2BkVrk%2BflS%2BQzoY0I775iQ%3D%3D,AI/ML Role at UPS,2026-02-21 17:01:55
Associate - Data Analyst,AstraZeneca,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/associate-data-analyst-at-astrazeneca-4374952283?position=4&pageNum=0&refId=OMQx753jV31lQwXMh%2B%2Fk7A%3D%3D&trackingId=%2BpsDpfKrX5KThbJ1%2Bp62SQ%3D%3D,AI/ML Role at AstraZeneca,2026-02-22 10:31:05
Data Engineer,Scoutit,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-engineer-at-scoutit-4374921474?position=6&pageNum=0&refId=OMQx753jV31lQwXMh%2B%2Fk7A%3D%3D&trackingId=gUkiq%2FqVtmz15m2SVwtqeA%3D%3D,AI/ML Role at Scoutit,2026-02-22 10:31:05
Data Engineer,NatWest Group,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-engineer-at-natwest-group-4140115195?position=7&pageNum=0&refId=OMQx753jV31lQwXMh%2B%2Fk7A%3D%3D&trackingId=2vv5PwNW3ApwmaZjFkPodQ%3D%3D,AI/ML Role at NatWest Group,2026-02-22 10:31:05
Staff Data Engineer,PayPal,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/staff-data-engineer-at-paypal-4350175473?position=8&pageNum=0&refId=OMQx753jV31lQwXMh%2B%2Fk7A%3D%3D&trackingId=6Ssln19KUWc8La75DEFcIg%3D%3D,AI/ML Role at PayPal,2026-02-22 10:31:05
Associate Director/ Sr. Manager/ Manager - Management Consulting (Multiple Openings),Mercados Energy Markets India,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/associate-director-sr-manager-manager-management-consulting-multiple-openings-at-mercados-energy-markets-india-4355333615?position=9&pageNum=0&refId=OMQx753jV31lQwXMh%2B%2Fk7A%3D%3D&trackingId=ymWA5jBrTlqR4ZvgAiwuYA%3D%3D,AI/ML Role at Mercados Energy Markets India,2026-02-22 10:31:05
Datascientist-AI,Grid Dynamics,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/datascientist-ai-at-grid-dynamics-4376156992?position=10&pageNum=0&refId=OMQx753jV31lQwXMh%2B%2Fk7A%3D%3D&trackingId=OkdLrklotmx5K140FoHV1Q%3D%3D,AI/ML Role at Grid Dynamics,2026-02-22 10:31:05
